"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","05","13","4","20231109192441-Zahlen.fs","20231109192520"
"GdP23","02","05","13","4","20231109192520-Zahlen.fs","20231109192644"
"GdP23","02","05","13","4","20231109192644-Zahlen.fs","20231109195713"
"GdP23","02","05","13","4","20231109195713-Zahlen.fs","20231109195855"
"GdP23","02","05","9","4","20231109195832-Zahlen.fs","20231109200157"
"GdP23","02","05","13","4","20231109195855-Zahlen.fs","20231109195948"
"GdP23","02","05","13","4","20231109195948-Zahlen.fs","20231109200029"
"GdP23","02","05","13","4","20231109200029-Zahlen.fs","20231109200134"
"GdP23","02","05","13","4","20231109200134-Zahlen.fs","20231109200424"
"GdP23","02","05","9","4","20231109200223-Zahlen.fs","20231109200532"
"GdP23","02","05","13","4","20231109200424-Zahlen.fs","20231109200504"
"GdP23","02","05","9","4","20231109200624-Zahlen.fs","20231109200817"
"GdP23","02","05","9","4","20231109200824-Zahlen.fs","20231109200918"
"GdP23","02","05","9","4","20231109200925-Zahlen.fs","20231109201011"
"GdP23","02","05","9","4","20231109201019-Zahlen.fs","20231109201252"
"GdP23","01","08","7","2","20231110240849-GdP-Blatt2-Aufgabe2-Felix-Ittel.pdf","20231110240953"
"GdP23","01","08","7","2","20231110240953-GdP-Blatt2-Aufgabe2-Felix-Ittel.pdf","20231110241025"
"GdP23","02","04","14","4","20231110015547-Zahlen.fs","20231110015640"
"GdP23","02","08","6","4","20231110082930-Zahlen.fs","20231110083324"
"GdP23","02","08","6","4","20231110083328-Zahlen.fs","20231110083536"
"GdP23","02","08","6","4","20231110083541-Zahlen.fs","20231110083622"
"GdP23","02","08","6","4","20231110083625-Zahlen.fs","20231110083653"
"GdP23","01","08","6","2","20231110084619-GsP_02_2.pdf","20231110084642"
"GdP23","01","08","6","3","20231110084623-GdP_02_3.pdf","20231110084645"
"GdP23","02","08","6","3","20231110084726-GdP_02_3.pdf","20231114115333"
"GdP23","02","05","12","4","20231110093218-Zahlen.fs","20231110093656"
"GdP23","02","08","15","4","20231110094029-Zahlen.fs","20231110115630"
"GdP23","02","01","18","4","20231110104915-Zahlen.fs","20231110105256"
"GdP23","02","08","15","4","20231110115646-Zahlen.fs","20231110120051"
